document_id,product,topic,source_url,final_url,http_status,content_type,retrieved_at,bytes,sha256,text_sha256,encoding,replacement_char_count,detected_title,exact_duplicate_of,text_duplicate_of,license_id,redistribution_status,suspected_secret_pattern_count,local_path,retrieval_mode,error
docker-001,docker,containers,https://docs.docker.com/engine/containers/run/,https://docs.docker.com/engine/containers/run/,200,text/markdown,2026-08-06T16:08:39.414208+00:00,56444,b5c9b78e4c920900af3a9dfd996249049afc745e0811c73178ce98efabfefd85,01a962dd12e885b49cf283a891efa64b833ee0809d9fe22f45a87ed94b011cba,utf-8,0,,,,REVIEW_REQUIRED,local_snapshot_only,0,data/raw/docker/docker-001.md,,
docker-002,docker,lifecycle,https://docs.docker.com/engine/containers/start-containers-automatically/,https://docs.docker.com/engine/containers/start-containers-automatically/,200,text/markdown,2026-08-06T16:08:39.424201+00:00,7210,8eafe64431d6ec24605cbd3d71ead15116273c72aeeb3db0a816effa43354263,dd9caf5fc5f3b3da965dca7ab00cb4e0945580c9aeb57ec464f74d22e8725451,utf-8,0,,,,REVIEW_REQUIRED,local_snapshot_only,0,data/raw/docker/docker-002.md,,
docker-003,docker,storage,https://docs.docker.com/engine/storage/volumes/,https://docs.docker.com/engine/storage/volumes/,200,text/markdown,2026-08-06T16:08:39.424201+00:00,28420,a3daa5ac924d90f12df1e701090bf1969d02cb7c9756b47d7bb02ecc77086d34,d57a78cbd46186f93348d737aa22972ca2b4ae35c8f09b0a48f8788e2512a874,utf-8,0,,,,REVIEW_REQUIRED,local_snapshot_only,0,data/raw/docker/docker-003.md,,
docker-004,docker,networking,https://docs.docker.com/engine/network/,https://docs.docker.com/engine/network/,200,text/markdown,2026-08-06T16:08:39.424201+00:00,14543,04f43b15abb747e42f6acddc93c0b65baedff758adcef4ca29188d5294a6a95c,b623a6330f40baa73078d022ef8bdb2d3f265c54d69cc51d2da99f6195d90a6e,utf-8,0,,,,REVIEW_REQUIRED,local_snapshot_only,0,data/raw/docker/docker-004.md,,
docker-005,docker,logging,https://docs.docker.com/engine/logging/configure/,https://docs.docker.com/engine/logging/configure/,200,text/markdown,2026-08-06T16:08:39.424201+00:00,9881,6810c4d54391ec1e30e50315904f3447aecaf5ad565ae105d9d3801c4cc85652,c9ab2e1792bf17acf84a4448a0d763784a7e2e373f6de6a2134e20fb2d586469,utf-8,0,,,,REVIEW_REQUIRED,local_snapshot_only,0,data/raw/docker/docker-005.md,,
docker-006,docker,logging,https://docs.docker.com/reference/cli/docker/container/logs/,https://docs.docker.com/reference/cli/docker/container/logs/,200,text/markdown,2026-08-06T16:08:39.424201+00:00,3273,a708c32402ba0f31edec5c82660c735cdf0400219c1481d915e52a9f636b83f3,8462a1fc767cae20878233ce898bf8dbb9d248aee81682ff5830a940aa21ef81,utf-8,0,,,,REVIEW_REQUIRED,local_snapshot_only,0,data/raw/docker/docker-006.md,,
docker-007,docker,resources,https://docs.docker.com/engine/containers/resource_constraints/,https://docs.docker.com/engine/containers/resource_constraints/,200,text/markdown,2026-08-06T16:08:39.424201+00:00,17765,e21d523cca21aa990139d2e0630005efa4a7e65c266096e39fe7ff2f19b62d58,3af742b4e3e24354a986f18b45a89840f6b0453b232eae625693ee5f8dd9c322,utf-8,0,,,,REVIEW_REQUIRED,local_snapshot_only,0,data/raw/docker/docker-007.md,,
docker-008,docker,security,https://docs.docker.com/engine/security/,https://docs.docker.com/engine/security/,200,text/markdown,2026-08-06T16:08:39.424201+00:00,13797,c1dc91a23aee02a193de8a1ce9be8b2c23412a3b1085a629dd783af917ee3306,8dddae93a1ba8df2880c5874fa1f3812fecfde73769ed5e64b51df22a4179929,utf-8,0,,,,REVIEW_REQUIRED,local_snapshot_only,0,data/raw/docker/docker-008.md,,
fastapi-001,fastapi,deployment,https://fastapi.tiangolo.com/deployment/,https://fastapi.tiangolo.com/deployment/,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,95436,6686140b7b508df5f4612da7e5b927ab7a337100dd3b4ba0f776577b8bb63e11,2b701c8f7556ec44592596306658249ec663ee1937570ef7133a73f16637a460,utf-8,0,Deployment - FastAPI,,,MIT,local_snapshot_only,0,data/raw/fastapi/fastapi-001.html,,
fastapi-002,fastapi,deployment,https://fastapi.tiangolo.com/deployment/manually/,https://fastapi.tiangolo.com/deployment/manually/,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,108499,0f097be885a1eb4d8f7681cc4d923f0cffa03395107f69d496307df2eb78d47a,b8331813d4059700ccbfd3199e0c763040f9e4ab3047a9487b0c94b6d1b73077,utf-8,0,Run a Server Manually - FastAPI,,,MIT,local_snapshot_only,0,data/raw/fastapi/fastapi-002.html,,
fastapi-003,fastapi,workers,https://fastapi.tiangolo.com/deployment/server-workers/,https://fastapi.tiangolo.com/deployment/server-workers/,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,111437,0b20b9efb6925255c330599988d44a1395f307eeda5f2a58cab8975ca22d0f10,e2e1ce96cf51532a7e574f5eab311a3753338e1a8dbaededa33ebe1684e5873c,utf-8,0,Server Workers - Uvicorn with Workers - FastAPI,,,MIT,local_snapshot_only,0,data/raw/fastapi/fastapi-003.html,,
fastapi-004,fastapi,docker,https://fastapi.tiangolo.com/deployment/docker/,https://fastapi.tiangolo.com/deployment/docker/,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,162072,df3823c5fb575c85a4dd1fa1a484e45265a78b10650d243c2ac5798b48910308,284b1a93bddeec82276be70cf341fcbda86c402ab257ef80e040f77cd16ee462,utf-8,0,FastAPI in Containers - Docker - FastAPI,,,MIT,local_snapshot_only,0,data/raw/fastapi/fastapi-004.html,,
fastapi-005,fastapi,async,https://fastapi.tiangolo.com/async/,https://fastapi.tiangolo.com/async/,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,135653,9ad4ca76e081ab613ce3ed88e9087a881d6b75a0a723d41e3e0907091e719787,6daaae3b39eea07acd3245e1ccf0f64347ce07d82ce8b10bdde056bd4fd7ca22,utf-8,0,Concurrency and async / await - FastAPI,,,MIT,local_snapshot_only,0,data/raw/fastapi/fastapi-005.html,,
fastapi-006,fastapi,errors,https://fastapi.tiangolo.com/tutorial/handling-errors/,https://fastapi.tiangolo.com/tutorial/handling-errors/,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,152592,c53dcbf9cf6cbf2f40dc34fd45a813ca9c431e19161372f4835729b21afe79c0,cadc63acfe5bd03d9e3c3c0e58c1886773a1c89d5d0681a96eac20c85c947d82,utf-8,0,Handling Errors - FastAPI,,,MIT,local_snapshot_only,0,data/raw/fastapi/fastapi-006.html,,
k8s-001,kubernetes,debugging,https://kubernetes.io/docs/tasks/debug/debug-application/debug-pods/,https://kubernetes.io/docs/tasks/debug/debug-application/debug-pods/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,498324,a2335449a3413a063feccd9973a6be46ea88bd64f8ebbc8a7a555c72f162aa3d,8544dcbe3a5af990392cf16b9dfec319dc49001f2921dbade71d403505551e1b,utf-8,0,Debug Pods | Kubernetes,,,CC-BY-4.0,local_snapshot_only,0,data/raw/kubernetes/k8s-001.html,,
k8s-002,kubernetes,debugging,https://kubernetes.io/docs/tasks/debug/debug-cluster/,https://kubernetes.io/docs/tasks/debug/debug-cluster/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,514516,c442304477094bf199eecb0446ed618805062f34787bc4744da65a245d0d54d5,558c4043c1311cdf9f99a91aef2772876da1b90b85238cb34d8eb7dc53942b99,utf-8,0,Troubleshooting Clusters | Kubernetes,,,CC-BY-4.0,local_snapshot_only,0,data/raw/kubernetes/k8s-002.html,,
k8s-003,kubernetes,lifecycle,https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/,https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,593287,49bb3daad89f5fd017430d2d46dc5c28052400cda941a73fded1b008e2c93b06,cefb80c73638002b48915a71868c8413545a62a3da0e3e8fd905bd40c6738896,utf-8,0,Pod Lifecycle | Kubernetes,,,CC-BY-4.0,local_snapshot_only,0,data/raw/kubernetes/k8s-003.html,,
k8s-004,kubernetes,resources,https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/,https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,546283,905edc79443a7271457d1081414b27611396476f88d87643a0cb76f7e5268fce,141b047fd96dd155012629a0a68e1cc90523bbd56c114e718e7d6192e85aa326,utf-8,0,Resource Management for Pods and Containers | Kubernetes,,,CC-BY-4.0,local_snapshot_only,0,data/raw/kubernetes/k8s-004.html,,
k8s-005,kubernetes,health,https://kubernetes.io/docs/concepts/configuration/liveness-readiness-startup-probes/,https://kubernetes.io/docs/concepts/workloads/pods/probes/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,527971,b271e170d6423e0ada4e2b17e2943fe5783d2683f1c0f1a7e0a9b96f3f3ea619,943a5a89cad5fd88fb9525e3c90188f146e087bf29f001f37cfb37f44d842060,utf-8,0,"Liveness, Readiness, and Startup Probes | Kubernetes",,,CC-BY-4.0,local_snapshot_only,0,data/raw/kubernetes/k8s-005.html,,
k8s-006,kubernetes,storage,https://kubernetes.io/docs/concepts/storage/persistent-volumes/,https://kubernetes.io/docs/concepts/storage/persistent-volumes/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,590771,ff1dc6f3db000250125a37d9aeb5af514a5dc49914ff3e78ee842b487d433c1d,f8832a792fe132abb4f54d8342efec250d1b67fda6077948924629caf24a56d4,utf-8,0,Persistent Volumes | Kubernetes,,,CC-BY-4.0,local_snapshot_only,0,data/raw/kubernetes/k8s-006.html,,
k8s-007,kubernetes,images,https://kubernetes.io/docs/concepts/containers/images/,https://kubernetes.io/docs/concepts/containers/images/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,527538,32171792cc56d07a135d289823ce4f30c1cf77790d869c6ba2750831910f3824,65af631772afa8d0f725629011941b4c4f97318426fb45dad344a38c67797499,utf-8,0,Images | Kubernetes,,,CC-BY-4.0,local_snapshot_only,0,data/raw/kubernetes/k8s-007.html,,
nvidia-001,nvidia-container-toolkit,installation,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/install-guide.html,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/install-guide.html,200,text/html,2026-08-06T16:08:39.424201+00:00,37230,42b5066fc5f7802876d4224154a99c337eab6a3d26acd9563d01723f74399441,71bc573552d1e27be56b895c5ebcb124723f4a922d740001b16f0232a36386d8,utf-8,0,Installing the NVIDIA Container Toolkit — NVIDIA Container Toolkit,,,Apache-2.0,local_snapshot_only,0,data/raw/nvidia-container-toolkit/nvidia-001.html,,
nvidia-002,nvidia-container-toolkit,verification,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/sample-workload.html,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/sample-workload.html,200,text/html,2026-08-06T16:08:39.424201+00:00,25377,b7bf0c8939fd456564583f80143102b7a89be40547a0db043ca39fee0135b02f,8c7b3b2a432c2d2499dfae0a4576ccda2cc8b068b665a921d14dd64ae65c5c31,utf-8,0,Running a Sample Workload — NVIDIA Container Toolkit,,,Apache-2.0,local_snapshot_only,0,data/raw/nvidia-container-toolkit/nvidia-002.html,,
nvidia-003,nvidia-container-toolkit,docker,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/docker-specialized.html,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/docker-specialized.html,200,text/html,2026-08-06T16:08:39.424201+00:00,36561,c554ff02d7c7e956b3108ef3e3749e44fc148642d5b19f3f456dc45c3b65ab5c,5468447affd52d68f066eca37becdfc17256fcea41a29ec0fd067a046c24c3cc,utf-8,0,Specialized Configurations with Docker — NVIDIA Container Toolkit,,,Apache-2.0,local_snapshot_only,0,data/raw/nvidia-container-toolkit/nvidia-003.html,,
nvidia-004,nvidia-container-toolkit,troubleshooting,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/troubleshooting.html,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/troubleshooting.html,200,text/html,2026-08-06T16:08:39.424201+00:00,41063,5b76d834f558fa2c4d1f338c5e6a281014dc976f2bf3c438b76d6a456d71c1b3,8b8d2b72a82649de646d5402d67e7fe26774f5a4a6bd3ac0fb2ee3b35369b6bc,utf-8,0,Troubleshooting — NVIDIA Container Toolkit,,,Apache-2.0,local_snapshot_only,0,data/raw/nvidia-container-toolkit/nvidia-004.html,,
nvidia-005,nvidia-container-toolkit,architecture,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/arch-overview.html,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/arch-overview.html,200,text/html,2026-08-06T16:08:39.424201+00:00,33788,13e0c163aa960355b4d897e36d6f75c7a263caf08602611e63ad196ca34038d8,21aa871a6e8725e6a964017fb612122e3546dccf516ee8987999dc0eb8900817,utf-8,0,Architecture Overview — NVIDIA Container Toolkit,,,Apache-2.0,local_snapshot_only,0,data/raw/nvidia-container-toolkit/nvidia-005.html,,
pytorch-001,pytorch,cuda,https://docs.pytorch.org/docs/2.13/notes/cuda.html,https://docs.pytorch.org/docs/2.13/notes/cuda.html,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,460527,5a8425e1f288f4ca9fe0d555fac2e49a3c22c1b90a0041388d4d6c8f740699f8,548bbf59ad861731aaad501ef11dccda96c2ab7f723e32fe45d2214a31892d10,utf-8,0,CUDA semantics — PyTorch 2.13 documentation,,,BSD-3-Clause,local_snapshot_only,0,data/raw/pytorch/pytorch-001.html,,
pytorch-002,pytorch,cuda,https://docs.pytorch.org/docs/2.13/generated/torch.cuda.is_available.html,https://docs.pytorch.org/docs/2.13/generated/torch.cuda.is_available.html,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,161301,0582c7c5cdc85fb9d925a51283205224cdb6493725a19ae8954858170d0cc060,5e027afb843460c900e638cbc0fab01944a47faf3dc4dfe13969ffe45446d2fc,utf-8,0,torch.cuda.is_available — PyTorch 2.13 documentation,,,BSD-3-Clause,local_snapshot_only,0,data/raw/pytorch/pytorch-002.html,,
pytorch-003,pytorch,reproducibility,https://docs.pytorch.org/docs/2.13/notes/randomness.html,https://docs.pytorch.org/docs/2.13/notes/randomness.html,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,200102,1afcf385a528f075f307a81b1ae0f46e5b6ef6df5e68f5f340ef1739c838d3c9,346dd8c80369f10bc51be622f4cbefa8fec1ae10656b6fc5686acd985a64c117,utf-8,0,Reproducibility — PyTorch 2.13 documentation,,,BSD-3-Clause,local_snapshot_only,0,data/raw/pytorch/pytorch-003.html,,
pytorch-004,pytorch,serialization,https://docs.pytorch.org/docs/2.13/notes/serialization.html,https://docs.pytorch.org/docs/2.13/notes/serialization.html,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,273204,92e33fd84ec7c6202c9209cfb8f5bb078f4f450cf30488baa11070e815cb28e7,1480c6bb95fd95d466b97de94afbafcc66efff02dc7daaff4e2e9acc831b0b1a,utf-8,0,Serialization semantics — PyTorch 2.13 documentation,,,BSD-3-Clause,local_snapshot_only,0,data/raw/pytorch/pytorch-004.html,,
pytorch-005,pytorch,installation,https://pytorch.org/get-started/locally/,https://pytorch.org/get-started/locally/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,202416,41339a3f1ca33afe2f0b278aa673a7e4e374ffc79c7780422c6e4f40329f2fb8,5165d8d661adabf800443c89549f8109cae8d271b5121f524db34bb862617db4,utf-8,0,Get Started,,,BSD-3-Clause,local_snapshot_only,0,data/raw/pytorch/pytorch-005.html,,
qdrant-001,qdrant,quickstart,https://qdrant.tech/documentation/quickstart/,https://qdrant.tech/documentation/quickstart/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,151105,c1d9bd2e54522400cdf2389249fad89db3480431185d80ae5d18b624f9e7c7a9,730711566c64257994b526a6c7237a7cc2eb84afd41f05d80c60b6aa64a72289,utf-8,0,Local Quickstart - Qdrant,,,Apache-2.0,local_snapshot_only,0,data/raw/qdrant/qdrant-001.html,,
qdrant-002,qdrant,collections,https://qdrant.tech/documentation/concepts/collections/,https://qdrant.tech/documentation/manage-data/collections/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,365884,99123e6d2487a3f76f050602bcd043b6505bb87186508fde36fb2a314217d352,83f9a2ecab4257a0afb4f2393fbbfec9fd3cdb047ce17c500fd86c9acaa04b4b,utf-8,0,Collections - Qdrant,,,Apache-2.0,local_snapshot_only,0,data/raw/qdrant/qdrant-002.html,,
qdrant-003,qdrant,storage,https://qdrant.tech/documentation/concepts/storage/,https://qdrant.tech/documentation/manage-data/storage/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,115058,ce0850a5afa954ba13bdfe43d7d2b7ca6b51a5b80e1617143c4d11ab4fe28c26,3eb44b49b7893156a28333336bf0099ecff455ebdee65ce6dd692cb2d5a42d44,utf-8,0,Storage - Qdrant,,,Apache-2.0,local_snapshot_only,0,data/raw/qdrant/qdrant-003.html,,
qdrant-004,qdrant,indexing,https://qdrant.tech/documentation/concepts/indexing/,https://qdrant.tech/documentation/manage-data/indexing/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,431193,644b52427beeebe95c8f2e73e9633cf47570b60e746031cee1c4c6ca72efb837,29651837e47d39c6022dd03dcadb81d26d6d1dce620f964daca8dcd9718a995e,utf-8,0,Indexing - Qdrant,,,Apache-2.0,local_snapshot_only,0,data/raw/qdrant/qdrant-004.html,,
qdrant-005,qdrant,deployment,https://qdrant.tech/documentation/installation/,https://qdrant.tech/documentation/installation/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,70078,9b8537aeb02846e4976ffee8c52916e704910cc1804622bfb5e4e141ce86f973,4b3a4098e81c37d53596a1cf7acada913ce96c7dbfc5e2ef7c0694325c2267cf,utf-8,0,Installation - Qdrant,,,Apache-2.0,local_snapshot_only,0,data/raw/qdrant/qdrant-005.html,,
qdrant-006,qdrant,distributed,https://qdrant.tech/documentation/scaling/distributed_deployment/,https://qdrant.tech/documentation/scaling/distributed_deployment/,200,text/html; charset=UTF-8,2026-08-06T16:08:39.424201+00:00,168849,a5418f6f74b28a79362ac1f486a570981d9b837f9356a647142c93c852664500,520bf7eee6c7a4f2a4c00ce937e6a9bab01b764371b2f263e5cb2ffa34161ca8,utf-8,0,Distributed Deployment - Qdrant,,,Apache-2.0,local_snapshot_only,0,data/raw/qdrant/qdrant-006.html,,
vllm-001,vllm,installation,https://docs.vllm.ai/en/latest/getting_started/installation/gpu/,https://docs.vllm.ai/en/latest/getting_started/installation/gpu/,200,text/html; charset=utf-8,2026-08-06T16:08:39.424201+00:00,720382,3e8f916c262d2870788564b1d504190e71eeca2a3694f43016b5576030db404a,0869a30223836097dedaed73362f2e5b4b236a493ed9fc5ada239915af2d52ff,utf-8,0,GPU - vLLM,,,Apache-2.0,local_snapshot_only,,data/raw/vllm/vllm-001.html,local_snapshot_reuse,
